;18.02.2022 18:03:56;18.02.2022 16:05:10;18.02.2022 14:06:03;18.02.2022 12:07:28;18.02.2022 10:01:03;18.02.2022 08:02:26;18.02.2022 06:04:18;18.02.2022 04:05:35;18.02.2022 02:06:47;18.02.2022 00:00:15;17.02.2022 22:01:09;17.02.2022 20:02:58;17.02.2022 18:04:51;17.02.2022 16:05:41;17.02.2022 14:07:28;17.02.2022 12:00:22;17.02.2022 10:01:14;17.02.2022 08:02:01;17.02.2022 06:03:40;17.02.2022 04:05:04;17.02.2022 02:05:57;17.02.2022 00:07:12;16.02.2022 22:00:37;16.02.2022 20:02:05;16.02.2022 18:03:00;16.02.2022 16:04:04;16.02.2022 14:06:05;16.02.2022 12:00:17;16.02.2022 10:02:02;16.02.2022 08:03:11;16.02.2022 06:04:53;16.02.2022 04:06:09;16.02.2022 02:07:30;16.02.2022 00:00:35;15.02.2022 22:01:45;15.02.2022 20:03:36
Ime;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena
Iota;0,712116;0,721394;0,729898;0,742147;0,741488;0,736547;0,72922;0,73283;0,725251;0,728411;0,72851;0,740228;0,758461;0,755186;0,771671;0,773959;0,780921;0,790438;0,789219;0,801488;0,792687;0,788558;0,795676;0,780293;0,777216;0,767797;0,786464;0,798858;0,79786;0,788936;0,777659;0,789747;0,788673;0,783121;0,785849;0,778098
SAND;3,202943;3,241879;3,244667;3,360809;3,354296;3,339858;3,341816;3,353529;3,284151;3,339783;3,328103;3,43931;3,459173;3,473291;3,547734;3,555195;3,614648;3,633395;3,609192;3,677189;3,667583;3,715905;3,722709;3,624568;3,601959;3,637285;3,733832;3,752523;3,788147;3,796846;3,768554;3,809948;3,838688;3,785569;3,731174;3,754188
PancakeSwap;6,8552;6,8788;6,935;6,9703;7,0312;6,9896;6,9487;6,9575;6,8702;6,9511;6,9231;6,984;7,036;7,024;7,2088;7,1937;7,2371;7,2884;7,218;7,2647;7,271;7,255;7,2446;7,2039;7,1624;7,1224;7,2297;7,2408;7,2685;7,2506;7,2445;7,2966;7,3043;7,3035;7,2834;7,3082
Aave;129,05;129,287;132,709;134,207;134,816;135,742;135,099;135,364;135,291;135,762;135,172;137,565;141,248;141,008;144,529;145,106;146,065;148,94;147,802;150,922;152,19;151,433;151,222;147,069;144,48;143,769;147,958;149,742;150,907;150,563;149,39;150,432;150,051;148,36;146,989;146,427
Loopring;0,775714;0,773426;0,806034;0,819516;0,822712;0,812517;0,795536;0,794656;0,784881;0,779421;0,782765;0,790076;0,817461;0,81344;0,830557;0,829959;0,838571;0,853715;0,838368;0,84819;0,851417;0,851171;0,853703;0,845296;0,836961;0,824671;0,844672;0,854462;0,86218;0,864702;0,852663;0,861919;0,86057;0,859768;0,862646;0,86016
Enjin;1,490296;1,494821;1,547387;1,568536;1,57168;1,563413;1,545629;1,556197;1,538758;1,544393;1,539289;1,565004;1,613259;1,60661;1,656536;1,652699;1,671324;1,720298;1,72068;1,729097;1,751366;1,718348;1,737299;1,686193;1,686768;1,663076;1,710125;1,727047;1,751648;1,751428;1,722445;1,735484;1,734005;1,692401;1,669807;1,684397
Harmony;0,1483679;0,14957024;0,15481803;0,15639538;0,1559976;0,15549619;0,1538759;0,15427222;0,1518323;0,15471241;0,15494153;0,15728421;0,16122905;0,16125146;0,16561843;0,1651818;0,16620805;0,1675894;0,16553824;0,16933013;0,16822613;0,1679654;0,16943942;0,16704484;0,16653867;0,16531271;0,16802729;0,16873684;0,17015147;0,17006824;0,16796484;0,16943689;0,17046642;0,1698568;0,16862763;0,17162706
THORChain;3,553516;3,587569;3,642;3,677248;3,75232;3,720148;3,66107;3,6734;3,665009;3,701081;3,68791;3,752663;3,846461;3,808097;3,938015;3,906779;3,938107;4,050914;4,06257;4,077362;4,070696;3,985441;3,97838;3,838574;3,857482;3,772514;3,853506;3,891355;3,921638;3,932784;3,809321;3,914765;3,915608;3,907235;3,88741;3,860112
Kusama;134,085;135,548;138,701;140,023;140,008;139,88;138,71;139,327;137,845;138,141;140,632;141,705;144,506;144,533;146,201;147,043;148,004;148,675;147,89;149,163;148,145;147,915;150,079;148,301;149,847;148,876;154,545;152,469;152,841;153,206;152,126;153,344;155,602;153,911;153,506;153,383
Neo;22,9216;23,6261;22,8671;22,6292;21,9648;21,9107;21,6564;21,9206;21,4475;21,0735;20,9759;20,8021;21,5571;21,3627;21,7233;21,6251;21,6232;21,9708;21,8041;22,2162;22,5427;22,2224;21,813;21,6206;21,5751;21,4025;22,0766;21,8454;21,6512;21,4876;21,1776;20,0988;19,9569;19,8577;19,7365;19,8729
Maker;1703,2;1717,94;1746,54;1758,68;1762,64;1762,36;1739,38;1758,76;1748,39;1748,79;1735,66;1731,46;1796,42;1781,99;1816,73;1817,35;1822,06;1844,56;1824,8;1864,54;1885;1887,19;1894,68;1858,59;1800,28;1788,09;1824,81;1869,58;1863,27;1830,72;1826,57;1843,12;1847,67;1825,43;1796,63;1787,41
Zcash;98,298;100,126;101,355;102,73;102,89;101,47;101,119;100,751;99,265;100,496;101,098;103,604;105,228;106,455;110,018;108,307;107,124;107,97;106,748;109,234;111,86;110,673;109,737;105,818;106,171;105,759;108,474;107,967;109,207;109,302;107,762;108,033;110,269;110,662;109,352;111,04
Holo;0,00439933;0,00437296;0,00440688;0,00453289;0,00444928;0,0043883;0,00428549;0,0042758;0,00427364;0,0042658;0,00427981;0,00433569;0,00441357;0,00430956;0,00444941;0,0044386;0,00448382;0,00458504;0,00451524;0,00456724;0,00458327;0,00457376;0,00458063;0,0044798;0,00446109;0,00438791;0,00450603;0,00453537;0,00459577;0,00453891;0,00445788;0,00449532;0,00451211;0,00449398;0,00446163;0,0044659
