;18.02.2022 18:03:56;18.02.2022 16:05:10;18.02.2022 14:06:03;18.02.2022 12:07:28;18.02.2022 10:01:03;18.02.2022 08:02:26;18.02.2022 06:04:18;18.02.2022 04:05:35;18.02.2022 02:06:47;18.02.2022 00:00:15;17.02.2022 22:01:09;17.02.2022 20:02:58;17.02.2022 18:04:51;17.02.2022 16:05:41;17.02.2022 14:07:28;17.02.2022 12:00:22;17.02.2022 10:01:14;17.02.2022 08:02:01;17.02.2022 06:03:40;17.02.2022 04:05:04;17.02.2022 02:05:57;17.02.2022 00:07:12;16.02.2022 22:00:37;16.02.2022 20:02:05;16.02.2022 18:03:00;16.02.2022 16:04:04;16.02.2022 14:06:05;16.02.2022 12:00:17;16.02.2022 10:02:02;16.02.2022 08:03:11;16.02.2022 06:04:53;16.02.2022 04:06:09;16.02.2022 02:07:30;16.02.2022 00:00:35;15.02.2022 22:01:45;15.02.2022 20:03:36
Ime;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena
Chromia;0,43295434;0,44192009;0,44835456;0,45364176;0,453112;0,45062557;0,44510578;0,44774788;0,44401128;0,4462265;0,4477851;0,45338436;0,4649568;0,46065551;0,47055492;0,47115555;0,4772441;0,48674199;0,47976088;0,48926585;0,49472584;0,48956198;0,49217616;0,4842198;0,48420897;0,48210704;0,493192;0,49409568;0,49945308;0,501465;0,48867312;0,49461738;0,506456;0,4900122;0,48817201;0,4862121
Kava.io;2,914007;2,926144;3,045427;3,071863;3,0888;3,054641;3,013755;2,999664;2,978866;2,989233;2,994921;3,08245;3,238847;3,208813;3,232094;3,193573;3,233709;3,24884;3,223407;3,246234;3,188858;3,185187;3,235456;3,159523;3,147402;3,150071;3,22828;3,201592;3,238888;3,237675;3,136932;3,13393;3,123499;3,042974;3,026966;3,006908
Nano;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332;1,967332
1inch;1,397539;1,399734;1,43195;1,449574;1,45728;1,46658;1,456678;1,470769;1,470936;1,478318;1,481506;1,495429;1,530483;1,522005;1,554433;1,554083;1,558669;1,588283;1,56626;1,603328;1,591352;1,592593;1,598386;1,585039;1,578361;1,576796;1,619423;1,608274;1,625965;1,571704;1,552142;1,5652;1,569239;1,562013;1,549151;1,551441
Frax Share;22,216;22,4508;22,437;22,875;22,7366;21,7394;21,5871;21,73;21,6673;21,8497;21,5999;21,8747;22,59;22,4775;22,8374;22,7261;23,0612;23,3216;23,2082;23,3293;23,62;23,4378;23,3567;23,274;23,1082;23,0603;23,5346;23,402;23,8117;23,8862;23,739;23,5157;23,0222;23,2355;23,3815;23,1653
Gnosis;313,23;315,19;319,09;319,09;318,52;319,67;319,09;319,61;320;320,16;322,98;321,96;325,53;325,35;327,91;328,73;330,47;328,67;329,36;333,24;333,3;332,59;335,22;329,54;329,07;331,06;335,61;333,93;335,15;335,4;336,3;335,6;344,17;336,02;333,44;334,23
Fetch.ai;0,29007572;0,29331994;0,29643568;0,30119416;0,304392;0,30185487;0,299438;0,29802888;0,29480376;0,2976899;0,29517712;0,29785274;0,30486372;0,30369598;0,31326318;0,3104643;0,31513625;0,32035255;0,31960528;0,3231283;0,32741408;0,3258177;0,32416104;0,32158176;0,31650003;0,31465496;0,32458916;0,3264058;0,33346665;0,3318727;0,31616392;0,31718685;0,3154338;0,3148694;0,31317692;0,31495485
Golem;0,3015681;0,30172781;0,30568223;0,31130571;0,3107208;0,30789996;0,30796588;0,30852156;0,30550469;0,30929834;0,31053998;0,315084;0,32085012;0,32109664;0,3262648;0,32505573;0,32518313;0,3286372;0,32775499;0,33442199;0,33372244;0,33472126;0,33428239;0,33095552;0,3268257;0,32584825;0,33322506;0,33461962;0,33488959;0,33335102;0,33229212;0,33351747;0,33551626;0,33897549;0,33272806;0,33611737
Oasis Network;0,24348164;0,24540631;0,25595335;0,25931072;0,259732;0,25802473;0,25693542;0,25736696;0,2544367;0,25543714;0,25250774;0,25832692;0,26585314;0,26412561;0,26871626;0,26441415;0,26940403;0,27189868;0,26877022;0,27286488;0,27492584;0,27296576;0,27279818;0,26687064;0,26673776;0,26437532;0,27130405;0,27259723;0,27574485;0,27661638;0,27127623;0,27751864;0,27871836;0,27657233;0,27525398;0,27574618
Dent;0,00238668;0,00242523;0,0024656;0,00249468;0,00250712;0,00250269;0,0024598;0,00245187;0,00246272;0,00243949;0,00246392;0,00248005;0,0025511;0,00253462;0,00260715;0,00260012;0,00262364;0,00265301;0,00260396;0,00264642;0,00267453;0,00268305;0,00269563;0,00262297;0,00262298;0,00259366;0,00266822;0,00267899;0,00273188;0,00271348;0,00264808;0,00269896;0,00271555;0,00270203;0,00270903;0,0027049
Injective Protocol;4,724772;4,770197;4,827214;4,966443;4,99928;5,045;4,879959;5,0006;4,979162;4,79264;4,835375;4,877317;5,0652;5,0296;5,2328;5,187;5,2552;5,3433;5,2326;5,3447;5,3183;5,3274;5,3148;5,2741;5,2515;5,1908;5,2995;5,314;5,4005;5,4331;5,4109;5,4517;5,6038;5,4877;5,4674;5,4265
SuperFarm;0,806541;0,814611;0,836435;0,86948;0,872256;0,849137;0,833671;0,849876;0,831123;0,830607;0,846609;0,862734;0,883506;0,867199;0,897804;0,876362;0,888653;0,911985;0,901989;0,933501;0,926589;0,930493;0,967384;1,030012;1,046817;1,009731;1,058129;0,990655;0,980366;0,949454;0,930667;0,954825;0,953879;0,960466;0,954238;0,937204
Lisk;1,451426;1,454418;1,45398;1,46896;1,4652;1,459537;1,456678;1,462843;1,449797;1,468627;1,484148;1,490144;1,529602;1,529055;1,563235;1,558485;1,57013;1,593571;1,583908;1,592774;1,599265;1,602267;1,61509;1,586798;1,602298;1,597046;1,649551;1,645226;1,640906;1,643946;1,63597;1,631373;1,637965;1,621921;1,614323;1,621001
Swipe;1,15889;1,158817;1,178164;1,19667;1,18888;1,180482;1,167808;1,177496;1,174106;1,190231;1,19965;1,205678;1,230198;1,217957;1,247243;1,238863;1,248204;1,270835;1,268891;1,293745;1,299458;1,296236;1,317042;1,271022;1,266176;1,251929;1,29184;1,291546;1,299597;1,294189;1,289186;1,305804;1,308434;1,306523;1,30784;1,28641
Reserve Rights Token;0,01434642;0,01466766;0,0149099;0,01516545;0,0151272;0,01498271;0,01473411;0,01482218;0,01482386;0,014977;0,01499122;0,01520088;0,01564826;0,01561664;0,01619568;0,01630686;0,01654763;0,01666727;0,0163244;0,01670171;0,01677514;0,0168493;0,01685426;0,01623742;0,01619016;0,0160673;0,01659931;0,01666341;0,01688367;0,01680067;0,01659794;0,01678135;0,01692593;0,01675662;0,01665404;0,01664145
Cartesi;0,37420824;0,38442021;0,39310332;0,3938964;0,39732;0,39023699;0,38389713;0,38653923;0,38350032;0,3842041;0,38482152;0,39006203;0,40005658;0,39755443;0,40938102;0,41057715;0,4158917;0,42584416;0,42028712;0,4249744;0,4233348;0,4185944;0,42412608;0,41306016;0,41284908;0,40824148;0,41793276;0,4174651;0,42292668;0,4226157;0,41675752;0,42235701;0,42654051;0,424642;0,42247179;0,424401
Ocean Protocol;0,4832198;0,4903038;0,49990476;0,505985;0,507144;0,50494;0,4984762;0,500061;0,4958904;0,4967959;0,49395264;0,49926883;0,51427;0,51274;0,522487;0,522225;0,527461;0,537125;0,533146;0,536847;0,53596;0,536082;0,543082;0,538579;0,542106;0,537748;0,544211;0,539933;0,537711;0,533534;0,52644;0,527968;0,533506;0,529217;0,526482;0,52513
Reef Finance;0,00962023;0,00971854;0,00982538;0,0099135;0,0098736;0,00984175;0,00967889;0,00954679;0,00959191;0,00966457;0,00989794;0,01007521;0,0102766;0,01012614;0,01042157;0,01048676;0,01059563;0,01087524;0,01050938;0,01059798;0,01069986;0,0107023;0,01075262;0,010564;0,01047961;0,01036231;0,01054198;0,01059279;0,01080168;0,01079225;0,01074763;0,01071994;0,01094326;0,01072177;0,01068289;0,01064524
Verge;0,00936404;0,0093305;0,00956983;0,00982538;0,0098648;0,00951604;0,0094411;0,00944991;0,00939814;0,00947075;0,00958973;0,00965247;0,00989794;0,00979124;0,01006949;0,01005531;0,01019014;0,01036409;0,01023584;0,01039569;0,01035698;0,01039451;0,0104449;0,01022975;0,01018044;0,0101158;0,01034705;0,01039924;0,01044133;0,01043985;0,0103682;0,01039349;0,01045866;0,01032532;0,01035703;0,01041632
Alpha Finance;0,31775898;0,3220182;0,33071436;0,33203616;0,327888;0,32632721;0,32260041;0,32383339;0,32087544;0,3221817;0,32290128;0,32550672;0,33348322;0,33207384;0,33914106;0,33767175;0,34020944;0,34427484;0,34175352;0,34889765;0,35088872;0,35035296;0,34930616;0,34409952;0,34342497;0,34212344;0,35232806;0,35447142;0,36026111;0,3566288;0,3520776;0,35583159;0,35992935;0,3601528;0,35721192;0,3548415
Origin Protocol;0,28592421;0,29226166;0,29590696;0,2982862;0,300608;0,29859776;0,29547485;0,29750046;0,29480376;0,2970732;0,30063684;0,30604325;0,31234882;0,30942443;0,31933656;0,3173322;0,32113045;0,32564035;0,32278192;0,3291089;0,33198592;0,3315338;0,33198592;0,32466036;0,32362722;0,32240248;0,33211197;0,3330043;0,33935394;0,3411232;0,3326648;0,33500931;0,33790185;0,338304;0,33484214;0,3338856
Keep Network;0,50752;0,51029;0,52288;0,54294;0,55563;0,49441;0,49941;0,49588;0,49422;0,49367;0,50382;0,50968;0,52026;0,5197;0,53379;0,53413;0,53315;0,53953;0,53437;0,53512;0,53152;0,53197;0,53837;0,5268;0,5258;0,52104;0,54358;0,53666;0,545;0,56105;0,56195;0,55348;0,56078;0,54412;0,54809;0,54795
Hive;0,876145;0,882076;0,883315;0,905874;0,907984;0,902307;0,900868;0,909235;0,901146;0,90003;0,910012;0,911701;0,932908;0,925453;0,946215;0,943632;0,950345;0,955505;0,954845;0,974398;0,974242;0,981059;0,973802;0,960787;0,955375;0,946782;0,977466;0,97473;0,979487;0,977998;0,973375;0,984735;0,983836;0,97976;0,958114;0,9586
VeThor Token;0,00319702;0,00329162;0,00333534;0,00330802;0,00333872;0,00332049;0,00330791;0,00329646;0,00328715;0,00329582;0,00330036;0,00329998;0,0034088;0,00337538;0,0035252;0,00350879;0,00352993;0,00354675;0,00350578;0,00354351;0,00354669;0,00355366;0,00358714;0,00352104;0,00352664;0,00353393;0,00357652;0,00360102;0,00362195;0,00361651;0,00361343;0,00362184;0,00363189;0,00369756;0,00364874;0,00365848
Trust Wallet Token;0,46104646;0,4735803;0,47531928;0,48386692;0,48048;0,47747472;0,47443309;0,47892466;0,47616048;0,4760043;0,47897904;0,48218325;0,4860912;0,48550817;0,49933746;0,4960737;0,506422;0,503663;0,501821;0,505009;0,502639;0,49941126;0,504133;0,49627032;0,49300797;0,49293596;0,49630616;0,49990236;0,501913;0,50402;0,49846776;0,505029;0,505135;0,505606;0,504113;0,501973
Civic;0,23657452;0,23978861;0,24506172;0,24691224;0,247456;0,2456037;0,24324934;0,24368969;0,24248424;0,244037;0,24366202;0,24774091;0,25396504;0,25319749;0,25860276;0,25842675;0,26013065;0,26456626;0,26304344;0,26833545;0,26956272;0,27226224;0,27158488;0,26555124;0,26819352;0,26271136;0,26919942;0,27212214;0,27412891;0,2709956;0,27019088;0,27227778;0,2740221;0,2746077;0,27072718;0,26899275
Pundi X;0,663358;0,677299;0,674999;0,692623;0,69872;0,682233;0,677258;0,677258;0,674693;0,673084;0,684226;0,685185;0,693913;0,692702;0,70592;0,706161;0,710489;0,718259;0,710332;0,727346;0,727978;0,725505;0,727098;0,718633;0,717998;0,715765;0,728256;0,730234;0,733003;0,732111;0,728862;0,732309;0,739243;0,729468;0,72922;0,728173
COTI;0,2212917;0,22656011;0,23157936;0,23492792;0,234256;0,2323992;0,22783709;0,22836551;0,22530864;0,2296767;0,2302769;0,2333855;0,24013962;0,23856791;0,24804036;0,24609975;0,24682;0,24755717;0,2453072;0,2499539;0,25259416;0,2515084;0,25400088;0,24875088;0,24795582;0,24351864;0,25387698;0,25892514;0,2601544;0,2555781;0,249278;0,24951444;0,25093728;0,2488825;0,24959038;0,248301
Status;0,0486165;0,0490441;0,04916567;0,05002485;0,04953041;0,04946472;0,04930285;0,0491482;0,04889503;0,04874376;0,04946974;0,050094;0,05101073;0,05068;0,0517242;0,05124992;0,05170756;0,05219532;0,05160889;0,05308901;0,05303941;0,05223973;0,05202537;0,05162752;0,05146257;0,05124843;0,05230858;0,05195703;0,05283654;0,0524502;0,05183602;0,05249057;0,05332451;0,05261666;0,05286334;0,05206905
BakerySwap;0,562726;0,571471;0,580711;0,588642;0,58872;0,585399;0,582143;0,583904;0,58309;0,585865;0,591017;0,599757;0,612898;0,608978;0,627583;0,627796;0,633798;0,639824;0,63974;0,653469;0,655883;0,653394;0,654125;0,643867;0,649366;0,634768;0,653405;0,65809;0,667964;0,663393;0,654741;0,657313;0,658182;0,655464;0,644672;0,643645
Energy Web Token;5,274;5,275;5,254;5,311;5,299;5,329;5,328;5,356;5,387;5,357;5,265;5,287;5,296;5,315;5,309;5,309;5,308;5,34;5,363;5,405;5,519;5,588;5,592;5,27;5,277;5,226;5,28;5,288;5,356;5,365;5,356;5,348;5,34;5,311;5,266;5,378
NKN;0,19229441;0,19410619;0,19765316;0,1995918;0,199408;0,19912386;0,19648417;0,19780522;0,19562568;0,196463;0,19602156;0,20035925;0,2056201;0,20375656;0,20931156;0,2087022;0,2105022;0,21248143;0,2108936;0,2151257;0,21689864;0,21650828;0,21812952;0,21400668;0,21317554;0,20935912;0,21539476;0,21669474;0,21949926;0,221131;0,21451144;0,21986916;0,22062744;0,2206905;0,22043921;0,22074135
DODO;0,4319337;0,44095;0,4441248;0,4467684;0,44352;0,4375091;0,4333044;0,4359465;0,4351152;0,437857;0,4342344;0,44035;0,4499866;0,4450565;0,4594644;0,463143;0,4663135;0,4714955;0,4650248;0,4705325;0,4756472;0,4757554;0,4765264;0,4679472;0,4610676;0,4586884;0,4702404;0,4786112;0,4815276;0,472216;0,4667896;0,4685013;0,4713885;0,471335;0,4676517;0,466665
Ardor;0,17129126;0,17294059;0,1749182;0,17597564;0,176616;0,17588394;0,17569965;0,17517123;0,1735176;0,1732046;0,17580768;0,17649228;0,17955434;0,17855138;0,18246546;0,1815591;0,18344015;0,18480861;0,18433336;0,1885648;0,189028;0,18915894;0,18973136;0,18788256;0,18785865;0,18673284;0,18897676;0,1895969;0,19054552;0,1899436;0,1892748;0,19048857;0,19181547;0,1907365;0,18838173;0,188427
Power Ledger;0,48712118;0,48120077;0,48310619;0,49449023;0,49335;0,49142124;0,49052759;0,4936345;0,49002095;0,49136503;0,49180867;0,50094;0,504932;0,501991;0,511833;0,508849;0,514011;0,519247;0,515704;0,525077;0,527297;0,53091;0,530348;0,52321;0,518466;0,514779;0,528123;0,530041;0,533026;0,53072;0,519521;0,525543;0,539862;0,518594;0,515418;0,513696
PAX Gold;1687,29;1681,97;1681,33;1678,5;1678,16;1676,09;1677,73;1678,61;1686,73;1689,76;1684,97;1681,26;1679,3;1679,76;1669,74;1669,43;1667,99;1659,68;1659,79;1651,7;1650,26;1649,75;1650,26;1649,25;1646,11;1644,59;1635,27;1634,67;1635,63;1636,9;1635,09;1636,67;1632,68;1636,9;1633,7;1638,61
My Neighbor Alice;6,9524;6,959;7,173;7,3131;7,2512;7,2185;7,1425;7,2129;7,2049;7,2242;7,2049;7,4067;7,626;7,4822;7,5433;7,5547;7,6435;7,8621;7,8798;7,8451;8,1238;8,0289;7,9831;7,8548;7,7246;7,6947;7,9518;7,839;7,8837;7,8321;7,7828;7,7819;7,7801;7,6207;7,5124;7,5371
Orchid;0,22038335;0,22320889;0,22761396;0,22682088;0,227656;0,22958224;0,22352166;0,22308131;0,22125696;0,2217477;0,22605002;0,22880586;0,23626498;0,23380889;0,23932638;0,2393199;0,2418836;0,23909669;0,23771856;0,23808065;0,23861488;0,23814152;0,23861488;0,23520504;0,23590119;0,2341864;0,24066798;0,23824984;0,24160961;0,2434203;0,2417776;0,23936799;0,24353604;0,2442132;0,24633179;0,24539535
Band Protocol;4,121944;4,186854;4,279107;4,220067;4,14392;4,001844;3,866273;3,898859;3,901944;3,943356;3,9037;4,004543;4,134417;4,086588;4,239923;4,358475;4,414171;4,442256;4,324642;4,29284;4,351161;4,230793;4,199059;3,866722;3,879038;3,858793;3,960939;3,981975;4,018331;4,024408;3,9708;4,098283;4,231042;4,086959;4,10142;4,096086
Ark;0,801462;0,802831;0,813728;0,82451;0,824789;0,815809;0,818499;0,819735;0,806233;0,819659;0,827264;0,832722;0,841677;0,842694;0,864479;0,857582;0,859112;0,869922;0,867723;0,895538;0,891217;0,895041;0,891808;0,880365;0,875632;0,879637;0,89622;0,890639;0,894334;0,89787;0,88392;0,904151;0,901846;0,899649;0,890514;0,893722
Mirror Protocol;1,113841;1,138533;1,17464;1,201957;1,20648;1,244744;1,210082;1,193348;1,213742;1,194636;1,219631;1,219769;1,293601;1,29463;1,357268;1,357731;1,355901;1,36617;1,298893;1,295503;1,291545;1,317341;1,268686;1,227922;1,237139;1,215832;1,253974;1,178932;1,188881;1,150586;1,130354;1,159342;1,159528;1,157634;1,076215;1,050436
Venus;9,4524;9,6303;9,8694;9,9399;10,0848;10,0882;10,1809;10,084;9,9707;10,3606;10,4903;10,6036;11,1044;11,783;11,7771;11,3849;10,9394;10,5756;10,6064;10,6332;10,6295;10,588;10,5416;10,7927;10,9284;10,0278;10,4527;8,9916;9,0527;8,9598;8,8946;8,6642;8,6876;8,5986;8,5516;8,5937
iExec RLC;1,621922;1,646507;1,668993;1,69631;1,70192;1,704261;1,68566;1,684779;1,677043;1,696806;1,693778;1,725291;1,781454;1,778463;1,816733;1,81383;1,827557;1,861517;1,844216;1,88125;1,884126;1,888951;1,893797;1,86915;1,89245;1,888458;1,891529;1,901248;1,91293;1,895031;1,854805;1,880181;1,89877;1,874768;1,860919;1,83144
StormX;0,01232343;0,01246266;0,01260116;0,01275833;0,0127688;0,01275555;0,01264685;0,01268208;0,01259544;0,01266878;0,01273637;0,01287583;0,01313855;0,01305205;0,01343185;0,01335719;0,01351493;0,01371458;0,0136419;0,01391369;0,01397928;0,01397367;0,01404082;0,01371296;0,01373368;0,01368142;0,01395751;0,01397122;0,0141415;0,01411362;0,01403016;0,01413445;0,0142562;0,01425458;0,01417046;0,01416725
Storj;0,917395;0,934549;0,949229;0,956807;0,962808;0,962696;0,949835;0,956704;0,945539;0,957207;0,958839;0,962165;0,993845;0,986792;1,007653;1,007644;1,017251;1,033501;1,02429;1,04467;1,051787;1,053609;1,054864;1,033002;1,029747;1,021176;1,056016;1,062446;1,071379;1,06557;1,046791;1,06026;1,070713;1,06786;1,055431;1,052021
TomoChain;0,954847;0,975381;0,990469;0,999281;1,00408;0,994739;0,977577;0,9811;0,977688;0,982315;0,983854;0,996952;1,028541;1,022308;1,040396;1,043392;1,056037;1,071661;1,061527;1,081785;1,085812;1,087818;1,093725;1,065196;1,062798;1,054719;1,083138;1,09975;1,109798;1,119751;1,10653;1,106404;1,107543;1,100369;1,090307;1,078612
Stratis;0,900966;0,909239;0,907636;0,919973;0,93104;0,925195;0,919451;0,920331;0,922198;0,910954;0,92463;0,928258;0,945764;0,935059;0,958538;0,965138;0,967005;0,979124;0,975052;0,995594;0,991738;0,992843;0,997013;0,986911;0,976578;0,96756;0,990675;0,988015;0,992931;0,994649;0,98917;0,991705;0,993;0,992006;0,986384;0,984399
Badger DAO;8,6043;8,6867;8,8032;8,9432;8,9232;8,8118;8,7365;8,8422;8,7552;8,8893;8,9842;9,0888;9,4312;9,4035;9,6118;9,5798;9,68;9,7659;9,6888;9,8328;9,8558;9,8845;9,9525;9,7548;9,7218;9,658;9,855;9,9153;10,1337;10,1139;10,0417;10,1376;10,2119;10,1227;10,1457;10,1874
Orion Protocol;3,306192;3,340637;3,389095;3,447254;3,4804;3,443734;3,417997;3,420639;3,37963;3,390969;3,414086;3,438253;3,569952;3,581603;3,593857;3,551937;3,601809;3,607161;3,619605;3,602432;3,613512;3,604661;3,624062;3,521918;3,497205;3,489025;3,506549;3,507763;3,54204;3,567169;3,520776;3,559198;3,590482;3,53281;3,528084;3,519359
TrueFi;0,17217466;0,17514534;0,17870736;0,1802054;0,180576;0,17843681;0,1770207;0,17904631;0,1779216;0,1799883;0,18061106;0,18300946;0,18871258;0,18674747;0,19478826;0,1893075;0,19553888;0,19664034;0,19518688;0,19727185;0,19782;0,19804088;0,200018;0,1961508;0,19577775;0,19386408;0,19866336;0,1992747;0,20276223;0,1981369;0,1958928;0,19825281;0,20194812;0,2046563;0,20044732;0,20207475
IRISnet;0,06053255;0,06208576;0,06290006;0,06393987;0,0642928;0,06376013;0,06346324;0,06397405;0,0636378;0,06421609;0,06417813;0,06577068;0,06584246;0,06516332;0,066904;0,06727901;0,06764631;0,06830075;0,06880073;0,06740488;0,06712692;0,06680802;0,067039;0,06623388;0,06558029;0,06511438;0,06672306;0,0672871;0,06811682;0,067837;0,06715064;0,06715185;0,0671222;0,06665646;0,06694201;0,06672429
aelf;0,29027957;0,2931984;0,29214386;0,29619029;0,29574678;0,29499612;0,29295894;0,29453047;0,29301326;0,2938962;0,29537407;0,292578;0,30236797;0,30112058;0,3073026;0,30484209;0,30794728;0,31085213;0,31003851;0,31620898;0,31746218;0,31692106;0,31603469;0,31130624;0,31069564;0,30902041;0,31540139;0,31523181;0,31701926;0,31703232;0,31527134;0,31913502;0,31994706;0,31871489;0,31640261;0,31591147
BTC Standard Hashrate Token;13,6132;13,7135;13,7996;13,8789;14,036;13,7767;13,7125;13,7653;13,6876;13,7348;13,8198;14,144;14,2129;14,2242;14,4441;14,4578;14,5359;14,6648;14,5684;14,6525;14,753;14,7651;14,9376;14,918;14,5359;14,465;14,8645;14,5431;14,6776;14,607;14,4537;14,5138;14,547;14,5717;14,5668;14,6339
Numeraire;26,3253;25,9308;27,3789;26,8295;25,5992;23,7681;23,6292;23,6028;23,3852;23,5844;23,7288;23,9022;24,5159;24,553;24,3579;24,4163;24,5349;24,9436;24,7337;25,0482;24,9605;25,142;25,022;24,6552;24,564;24,3959;24,9826;25,0655;25,2714;25,1702;24,9366;25,1456;25,4902;25,7164;25,7781;25,7898
FunFair;0,00925698;0,00928641;0,00993112;0,00979013;0,0088528;0,00872377;0,00865728;0,00862205;0,00853495;0,00864261;0,0086651;0,0086837;0,00884122;0,00889232;0,00899564;0,0089811;0,00907945;0,00922721;0,00916814;0,00939306;0,00942502;0,00941837;0,00946019;0,00935015;0,00926535;0,00920018;0,00943123;0,00946665;0,00950753;0,00954123;0,00955639;0,00957295;0,00955994;0,00955885;0,00952037;0,00954462
Steem;0,28595752;0,2889337;0,28929368;0,29295127;0,29323437;0,29284548;0,2911726;0,29345423;0,28908738;0,28851119;0,28959659;0,292941;0,29608404;0,29705138;0,3012174;0,30066617;0,30181897;0,30582591;0,30272083;0,31117133;0,31010635;0,31343841;0,31021095;0,30745344;0,30493491;0,30366609;0,31191416;0,31135522;0,3111909;0,31198156;0,30830829;0,31563658;0,31294092;0,30702608;0,30396418;0,30658568
Balancer;11,6874;11,9321;12,1782;12,3016;12,2848;12,1922;12,0656;12,1977;12,1022;12,0697;12,067;12,2065;12,4253;12,3911;12,6309;12,7584;12,8699;13,0168;13,0242;13,2717;13,4781;13,446;13,5133;13,2204;13,1897;13,1884;13,6156;13,7601;13,913;13,8934;13,7037;13,8168;13,798;13,7084;13,6068;13,4717
IDEX;0,14901012;0,15068621;0,15676012;0,15871193;0,1589484;0,15878892;0,15434021;0,15533702;0,15453683;0,15590356;0,15888092;0,16335;0,16596971;0,16535737;0,16696268;0,16518603;0,1673793;0,16741166;0,16561063;0,16740475;0,16724837;0,16678019;0,16811182;0,16682624;0,16629322;0,16445393;0,16893736;0,16983012;0,17171833;0,17250288;0,16943417;0,17064588;0,17203966;0,17221513;0,17063974;0,17019585
QuarkChain;0,01383665;0,01386029;0,01425092;0,01439564;0,0139932;0,0143376;0,01429076;0,01434984;0,01427592;0,01433596;0,01444372;0,01452;0,01478572;0,01442715;0,01483268;0,01480553;0,01493774;0,01507865;0,0150205;0,01550044;0,01548596;0,01547844;0,01552996;0,0154112;0,01497791;0,01529804;0,01511137;0,01512186;0,01554012;0,0155408;0,0150866;0,0155486;0,01595843;0,01519545;0,01477064;0,01476585
Metal;1,337468;1,35989;1,38084;1,391415;1,39392;1,393515;1,373011;1,37125;1,372286;1,372598;1,376378;1,386222;1,416885;1,400386;1,441768;1,442259;1,453593;1,47794;1,461254;1,493391;1,492002;1,499377;1,50607;1,475969;1,466627;1,462344;1,496139;1,508857;1,532802;1,523249;1,520375;1,539613;1,561309;1,547917;1,526253;1,526787
STP Network;0,07908197;0,0791595;0,08061218;0,08187181;0,0818312;0,0809788;0,08107724;0,08159685;0,08142996;0,08117534;0,08144758;0,08189629;0,08332237;0,08268357;0,08509774;0,08550535;0,08570034;0,08638601;0,08609577;0,08722881;0,08697046;0,0870606;0,08703201;0,08547953;0,08520863;0,08494099;0,08690748;0,08717938;0,08733629;0,08712209;0,08652814;0,08740946;0,08820692;0,0885405;0,08696032;0,08694057
Linear;0,02018341;0,02043362;0,02076107;0,02095494;0,0210144;0,02085431;0,02059957;0,02067884;0,02062834;0,02087089;0,02085261;0,02110157;0,02183888;0,02173286;0,02232187;0,02233828;0,02268099;0,02303718;0,02285416;0,02348265;0,02347464;0,0233041;0,02360652;0,0228696;0,02266622;0,02260867;0,02345038;0,02360503;0,02371611;0,02317911;0,02289828;0,02307214;0,02326985;0,02321435;0,02303031;0,0230779
Aavegotchi;1,791207;1,783247;1,78439;1,790474;1,78409;1,786296;1,812557;1,793319;1,791561;1,774831;1,781432;1,780534;1,784654;1,786003;1,799552;1,796504;1,802931;1,802588;1,802001;1,796696;1,796981;1,800669;1,808548;1,801131;1,788558;1,79229;1,808161;1,816987;1,824065;1,821872;1,805122;1,810429;1,82008;1,815916;1,817709;1,817266
Aragon;4,821597;4,93864;4,944413;4,942651;4,9676;4,949927;4,783082;4,81831;4,716684;4,703659;4,69712;4,752257;4,892614;4,88769;5,0075;5,0074;5,0942;5,1926;5,1259;5,2568;5,2937;5,3001;5,3411;5,1852;5,2081;5,1591;5,3364;5,3923;5,4641;5,4842;5,38;5,5382;5,5404;5,5477;5,448;5,4239
UTRUST;0,21958838;0,22082776;0,22611592;0,22937636;0,237776;0,23451192;0,23541111;0,24095952;0,24037032;0,2376938;0,23878488;0,23831742;0,24427844;0,24870286;0,25578612;0,2562255;0,2589847;0,26024789;0,26004328;0,26270665;0,25989152;0,26373206;0,26868352;0,25763484;0,25593382;0,2390286;0,2395232;0,2388657;0,23927001;0,2350508;0,2325124;0,23592702;0,23569425;0,233465;0,23364971;0,2345652
Kyber Network;1,932879;1,943046;2,010017;2,036453;1,99144;2,007964;1,999189;2,014161;1,953614;1,984012;1,944365;1,968365;1,993678;1,944148;1,976049;1,976722;1,994179;2,080985;2,037462;1,998224;2,026556;2,020861;2,042382;1,974702;1,971856;1,925435;1,880962;1,866936;1,86942;1,884459;1,876865;1,903121;1,875862;1,897674;1,905835;1,867541
