;05.02.2022 13:00:00;05.02.2022 10:59:33;05.02.2022 09:00:34;05.02.2022 07:01:32;05.02.2022 05:02:34;05.02.2022 03:03:30;05.02.2022 01:04:20;04.02.2022 23:05:01;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 21:01:07;03.02.2022 19:02:05;03.02.2022 17:02:40;03.02.2022 15:03:40;03.02.2022 13:04:41;03.02.2022 11:05:53;03.02.2022 08:58:48;03.02.2022 06:59:59;03.02.2022 05:00:47;03.02.2022 03:01:44;03.02.2022 01:02:43;02.02.2022 22:59:15;02.02.2022 21:00:11;02.02.2022 19:01:21;02.02.2022 17:02:34;02.02.2022 15:03:42;02.02.2022 13:04:47;02.02.2022 11:05:54;02.02.2022 08:59:06;02.02.2022 07:00:14;02.02.2022 05:09:19;02.02.2022 03:02:34;02.02.2022 01:03:37;01.02.2022 23:04:24;01.02.2022 21:05:29;01.02.2022 18:58:39;01.02.2022 16:59:49;01.02.2022 15:00:03;01.02.2022 13:00:13;01.02.2022 11:00:54;01.02.2022 09:01:45;01.02.2022 07:03:01;01.02.2022 05:04:19;01.02.2022 03:05:36;01.02.2022 00:58:47
Ime;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena
Ethereum Classic;25,695;25,725;25,639;25,99;25,7;25,33;25,852;25,391;25,26033333;25,12966667;24,999;24,86833333;24,73766667;24,607;24,47633333;24,34566667;24,215;24,08433333;23,95366667;23,823;23,639;23,736;23,469;23,631;23,39;22,817;23,611;23,391;23;23,252;23,334;23,535;24,207;24,179;24,058;24,743;24,817;24,921;24,761;24,84;24,962;24,763;23,799;23,82;23,504;23,502;23,306;23,306;22,831;22,825;22,871;22,91;23,209;22,948;22,872
Hedera Hashgraph;0,22771044;0,22624914;0,22524544;0,22779046;0,2218212;0,21715128;0,21663981;0,2171016;0,216745155;0,21638871;0,216032265;0,21567582;0,215319375;0,21496293;0,214606485;0,21425004;0,213893595;0,21353715;0,213180705;0,21282426;0,2095947;0,20980102;0,2101292;0,2050369;0,19243368;0,1906835;0,19471845;0,19518528;0,19503114;0,19449717;0,194832;0,19522932;0,20257952;0,19890444;0,19635976;0,20383853;0,20529245;0,20347152;0,20113016;0,20161938;0,2030856;0,20366132;0,2034408;0,20173293;0,20176128;0,20178567;0,2036039;0,20406848;0,20244357;0,20115807;0,20317708;0,20307743;0,2044386;0,20232673;0,19746776
Near;11,4144;11,4192;11,4013;11,6037;11,3847;11,2606;11,1641;11,0312;10,901775;10,77235;10,642925;10,5135;10,384075;10,25465;10,125225;9,9958;9,866375;9,73695;9,607525;9,4781;9,3407;9,4288;9,5365;9,4162;9,5436;9,379;9,5727;9,5341;9,3884;9,3958;9,6911;9,9237;10,3955;10,4887;9,9784;10,1899;10,0771;9,9653;9,8151;9,8626;9,8177;9,8111;9,9785;9,9729;9,8819;9,9727;9,9437;10,0279;9,9294;9,8832;10,0045;10,1005;10,1667;9,9855;9,8903
Decentraland;2,652481;2,657771;2,660712;2,679728;2,581272;2,612459;2,428743;2,397994;2,389053417;2,380112833;2,37117225;2,362231667;2,353291083;2,3443505;2,335409917;2,326469333;2,31752875;2,308588167;2,299647583;2,290707;2,24198;2,290576;2,305633;2,277532;2,306454;2,282437;2,27417;2,240642;2,169965;2,18541;2,249046;2,270583;2,339227;2,280541;2,271517;2,362331;2,383197;2,404526;2,399094;2,390845;2,349115;2,340862;2,383392;2,402407;2,406546;2,427748;2,40927;2,472042;2,466543;2,448653;2,468342;2,466398;2,505642;2,534585;2,468971
Fantom;1,891405;1,88366;1,888791;1,890941;1,855939;1,832323;1,829859;1,808306;1,799401833;1,790497667;1,7815935;1,772689333;1,763785167;1,754881;1,745976833;1,737072667;1,7281685;1,719264333;1,710360167;1,701456;1,664413;1,675346;1,680244;1,671412;1,695972;1,710121;1,731619;1,72263;1,68841;1,694156;1,695658;1,753074;1,791076;1,775534;1,76325;1,828528;1,827996;1,833193;1,845409;1,844138;1,846241;1,840676;1,839137;1,839936;1,812738;1,860309;1,864087;1,869413;1,866407;1,846452;1,873191;1,86963;1,850192;1,826647;1,820963
The Graph;0,40170816;0,3980795;0,39557856;0,39998816;0,3943488;0,38491026;0,38311776;0,3783987;0,376125162;0,373851623;0,371578085;0,369304547;0,367031008;0,36475747;0,362483932;0,360210393;0,357936855;0,355663317;0,353389778;0,35111624;0,34555985;0,3490851;0,3522909;0,35127775;0,35248456;0,34881777;0,35670291;0,3558896;0,35436857;0,35112371;0,35848326;0,3599596;0,36974304;0,36505648;0,36923787;0,3825855;0,3835192;0,38452218;0,38379824;0,38459496;0,383616;0,38894518;0,390276;0,3952935;0,38568495;0,38461221;0,37480696;0,3748024;0,37450728;0,3680046;0,3699714;0,36707069;0,37164176;0,36617308;0,36508367
Tezos;3,483454;3,500475;3,473991;3,510386;3,475024;3,432109;3,506087;3,453174;3,445890833;3,438607667;3,4313245;3,424041333;3,416758167;3,409475;3,402191833;3,394908667;3,3876255;3,380342333;3,373059167;3,365776;3,283125;3,378864;3,443102;3,415812;3,405074;3,366672;3,437512;3,367434;3,294804;3,257584;3,327065;3,298152;3,359208;3,256651;3,259962;3,36338;3,369945;3,361357;3,317849;3,28486;3,305136;3,335465;3,32556;3,255619;3,280845;3,199019;3,22032;3,19968;3,177449;3,119337;3,195575;3,125843;3,148978;3,130759;3,109048
Flow;5,898;5,747;5,685;5,796;5,74;5,73;5,562;5,448;5,421833333;5,395666667;5,3695;5,343333333;5,317166667;5,291;5,264833333;5,238666667;5,2125;5,186333333;5,160166667;5,134;5,024;5,069;5,153;5,127;5,166;5,137;5,303;5,278;5,19;5,256;5,408;5,484;5,659;5,606;5,567;5,754;5,75;5,726;5,67;5,753;5,792;5,744;5,935;5,88;5,85;5,905;5,889;6,029;6,088;6,033;6,112;6,138;6,171;6,222;6,069
Helium;25,0893;24,6022;24,3433;24,6846;24,4458;23,8482;23,8138;23,4057;23,3251;23,2445;23,1639;23,0833;23,0027;22,9221;22,8415;22,7609;22,6803;22,5997;22,5191;22,4385;21,8262;22,1087;22,802;22,3196;22,3841;22,0306;22,4081;22,293;21,8148;21,8266;22,2779;22,4487;22,9938;22,847;22,755;24,1367;24,1911;24,0603;23,9119;24,0771;24,2158;24,4411;24,2957;24,0729;23,9302;24,095;24,308;24,2909;24,1706;24,1904;24,9019;24,7058;24,8711;24,7179;24,7815
Monero;144,36;144,52;146,15;146,93;145,5;143,38;143,67;140,42;139,3783333;138,3366667;137,295;136,2533333;135,2116667;134,17;133,1283333;132,0866667;131,045;130,0033333;128,9616667;127,92;126,5;126,05;125,99;125,47;126,83;125,5;129,85;128,48;127,79;127,5;128,34;128,19;130,45;130,2;130,95;132,45;130,94;130,63;129,55;129,49;130;129,42;129,92;129,51;128,99;129,41;128,92;130,05;129,86;128,15;129,48;129,6;131,82;130,37;131,5
Eos;2,1928;2,179;2,1811;2,1807;2,1752;2,15;2,1676;2,142;2,1306;2,1192;2,1078;2,0964;2,085;2,0736;2,0622;2,0508;2,0394;2,028;2,0166;2,0052;1,9735;1,9884;2,0013;1,9905;2,0156;1,9832;2,0306;2,0231;2,0079;2,0098;2,0165;2,0201;2,0978;2,0765;2,0772;2,145;2,1423;2,1381;2,0972;2,1002;2,1024;2,1057;2,0902;2,094;2,076;2,0879;2,0743;2,0811;2,0711;2,0603;2,0754;2,0877;2,1008;2,085;2,0813
Iota;0,837796;0,844716;0,836189;0,851548;0,849615;0,840718;0,837021;0,825835;0,823344167;0,820853333;0,8183625;0,815871667;0,813380833;0,81089;0,808399167;0,805908333;0,8034175;0,800926667;0,798435833;0,795945;0,758621;0,769387;0,771234;0,754476;0,746845;0,73657;0,763083;0,760265;0,749656;0,748898;0,743284;0,743769;0,772954;0,778622;0,764438;0,794199;0,770576;0,770462;0,754282;0,746995;0,748762;0,743888;0,746897;0,753101;0,752157;0,756318;0,753614;0,754317;0,761007;0,743387;0,747317;0,746249;0,75335;0,748844;0,744425
SAND;3,872565;3,843611;3,85794;3,740449;3,674209;3,650397;3,465538;3,449765;3,426570583;3,403376167;3,38018175;3,356987333;3,333792917;3,3105985;3,287404083;3,264209667;3,24101525;3,217820833;3,194626417;3,171432;3,122733;3,156814;3,18807;3,178777;3,227545;3,221132;3,2396;3,221178;3,152295;3,225123;3,257441;3,391866;3,405868;3,360927;3,375598;3,4834;3,500939;3,529646;3,517559;3,520926;3,470482;3,453276;3,533086;3,508252;3,46348;3,527288;3,507233;3,562844;3,550802;3,593734;3,544272;3,547846;3,601772;3,657486;3,65752
PancakeSwap;6,9547;6,938;6,9952;7,2201;6,9308;6,7925;6,8426;6,8347;6,789175;6,74365;6,698125;6,6526;6,607075;6,56155;6,516025;6,4705;6,424975;6,37945;6,333925;6,2884;6,2248;6,2905;6,3144;6,2675;6,2991;6,3147;6,4049;6,4087;6,3859;6,4034;6,4043;6,4367;6,5608;6,5151;6,4774;6,726;6,7399;6,7617;6,7635;6,7917;6,8021;6,7562;6,8198;6,8754;6,8499;6,8805;6,826;6,8186;6,8044;6,7275;6,7874;6,7396;6,779;6,635;6,5852
Aave;150,203;150,483;148,298;150,083;146,832;145,205;145,679;142,637;141,75675;140,8765;139,99625;139,116;138,23575;137,3555;136,47525;135,595;134,71475;133,8345;132,95425;132,074;129,574;131,76;133,479;130,903;130,862;129,665;133,154;133,137;132,324;133,656;134,022;133,788;138,122;137,383;136,282;142,928;142,139;141,881;141,927;142,936;143,146;143,912;145,721;145,859;144,56;147,312;147,541;147,841;145,059;144,357;145,359;145,03;145,913;142,599;140,348
Loopring;0,8727;0,863526;0,866705;0,867806;0,82628;0,808897;0,797696;0,785726;0,781731417;0,777736833;0,77374225;0,769747667;0,765753083;0,7617585;0,757763917;0,753769333;0,74977475;0,745780167;0,741785583;0,737791;0,728591;0,726867;0,731944;0,724593;0,776744;0,767169;0,774793;0,774714;0,759311;0,760073;0,769675;0,767441;0,801287;0,795352;0,798022;0,822431;0,823116;0,823989;0,825557;0,824766;0,833654;0,84341;0,856121;0,861917;0,859354;0,861172;0,871468;0,89709;0,892297;0,884811;0,899784;0,893505;0,900064;0,882614;0,891278
Enjin;1,695362;1,692057;1,671853;1,706243;1,663222;1,646993;1,590498;1,578444;1,568864917;1,559285833;1,54970675;1,540127667;1,530548583;1,5209695;1,511390417;1,501811333;1,49223225;1,482653167;1,473074083;1,463495;1,425314;1,458458;1,466344;1,448305;1,483398;1,465159;1,503634;1,490038;1,476462;1,478462;1,499321;1,499241;1,559189;1,541133;1,543586;1,622205;1,623942;1,627063;1,610994;1,630001;1,627704;1,615796;1,636584;1,646908;1,638643;1,658256;1,646058;1,65354;1,642467;1,624909;1,641948;1,627468;1,657779;1,665882;1,679723
Harmony;0,1771645;0,177176;0,17672498;0,1793391;0,17417946;0,17171036;0,1712844;0,16715085;0,166256733;0,165362617;0,1644685;0,163574383;0,162680267;0,16178615;0,160892033;0,159997917;0,1591038;0,158209683;0,157315567;0,15642145;0,15436816;0,15532975;0,15647434;0,1532664;0,15505594;0,15537601;0,15625379;0,1570169;0,15482922;0,15481726;0,1552811;0,15628985;0,16300214;0,16202701;0,16242213;0,16975185;0,16722357;0,16480661;0,16382433;0,1652107;0,16449312;0,16623167;0,16557648;0,16811077;0,16551979;0,16797967;0,16783541;0,17073245;0,16809301;0,16833988;0,16869061;0,1691481;0,1711405;0,16671309;0,16611886
THORChain;4,026704;3,949299;3,868346;3,901982;3,85871;3,767802;3,753401;3,674749;3,6479065;3,621064;3,5942215;3,567379;3,5405365;3,513694;3,4868515;3,460009;3,4331665;3,406324;3,3794815;3,352639;3,300635;3,318496;3,356279;3,373501;3,397089;3,348934;3,414448;3,411754;3,388688;3,368446;3,389191;3,415183;3,53009;3,508048;3,483259;3,687795;3,673328;3,678616;3,671114;3,702126;3,674544;3,659512;3,701184;3,740631;3,715859;3,73931;3,740444;3,775583;3,714871;3,656046;3,707711;3,687623;3,722653;3,685809;3,674896
Kusama;162,363;161,769;161,589;164,156;161,603;158,93;156,865;155,642;154,4005;153,159;151,9175;150,676;149,4345;148,193;146,9515;145,71;144,4685;143,227;141,9855;140,744;137,979;139,284;140,32;140,247;141,065;138,445;141,492;140,672;139,675;142,081;143,588;142,743;147,685;145,438;146,207;153,548;156,38;154,287;155,508;152,968;150,338;150,393;152,647;153,498;153,562;150,783;147,541;147,218;145,77;143,468;143,937;142,804;145,289;142,777;142,22
Neo;19,788;19,7727;19,7352;19,9732;19,6912;19,3898;19,453;19,4705;19,2989;19,1273;18,9557;18,7841;18,6125;18,4409;18,2693;18,0977;17,9261;17,7545;17,5829;17,4113;17,0285;17,218;17,3471;17,2686;17,3093;17,0994;17,7065;17,595;17,3863;17,4808;17,8183;17,9359;18,4606;18,2971;18,2359;18,7266;18,7249;18,6545;17,8674;17,827;17,8754;17,9513;17,6978;17,766;17,7406;17,7219;17,6605;17,7889;17,7038;17,6269;17,8233;17,9663;18,1189;17,7647;17,5814
Maker;1978,8;1985,15;1985,76;2008,68;2008,45;1976,57;1989,87;1980,48;1984,4;1988,32;1992,24;1996,16;2000,08;2004;2007,92;2011,84;2015,76;2019,68;2023,6;2027,52;1974,25;1950,15;2036,39;2015,99;2005,96;1918,36;1983,56;1935,01;1912,23;1897,97;1898,27;1873,39;1939,03;1941,24;1908,66;2007,18;2006,93;1994,84;1987,34;1974,47;1975,8;1969,14;1948,27;1950,71;1932,21;1950,21;1978,47;1971,8;1961,37;1915,15;1937,82;1932,84;1927,69;1918,26;1907,85
Zcash;101,503;101,032;100,457;101,566;100,51;98,606;93,443;92,567;92,13241667;91,69783333;91,26325;90,82866667;90,39408333;89,9595;89,52491667;89,09033333;88,65575;88,22116667;87,78658333;87,352;85,465;86,05;85,424;85,549;85,899;84,575;87,088;89,124;86,97;88,514;87,138;87,423;89,644;89,5;87,743;90,49;91,048;90,726;89,503;88,487;88,729;88,689;87,705;88,031;86,603;86,471;86,355;86,157;84,838;84,143;85,206;85,031;85,838;84,369;84,404
Holo;0,00441249;0,00440862;0,00442446;0,00443693;0,00432892;0,00423025;0,00419385;0,00405886;0,004036282;0,004013703;0,003991125;0,003968547;0,003945968;0,00392339;0,003900812;0,003878233;0,003855655;0,003833077;0,003810498;0,00378792;0,00372788;0,00375857;0,00379215;0,00379486;0,00381141;0,00375602;0,00383138;0,00380886;0,00378371;0,00377553;0,00379742;0,00380706;0,00390904;0,00387983;0,0038696;0,00402233;0,00405632;0,00403841;0,0040084;0,00401552;0,00401731;0,00402085;0,00404218;0,00407197;0,00405391;0,0040909;0,00408808;0,00410451;0,00407641;0,00404272;0,00406489;0,00406155;0,00410124;0,00405367;0,00404025
Chiliz;0,18423288;0,18407896;0,18178776;0,18495956;0,181792;0,17929842;0,17635302;0,1723528;0,171302531;0,170252262;0,169201993;0,168151723;0,167101454;0,166051185;0,165000916;0,163950647;0,162900378;0,161850108;0,160799839;0,15974957;0,1565394;0,15826941;0,1582108;0,15787665;0,1588088;0,15751344;0,1614522;0,16123616;0,16004599;0,15973069;0,15979832;0,1600313;0,16530418;0,16323088;0,16419433;0,16992;0,1673474;0,16802352;0,16491608;0,16521958;0,165612;0,16592982;0,1674768;0,16735572;0,16646287;0,16876296;0,1679832;0,1689989;0,16797753;0,16551318;0,1673934;0,16799961;0,1705882;0,16890692;0,16823968
Stacks;1,39793;1,384092;1,378054;1,414294;1,392282;1,366375;1,339689;1,325858;1,31798675;1,3101155;1,30224425;1,294373;1,28650175;1,2786305;1,27075925;1,262888;1,25501675;1,2471455;1,23927425;1,231403;1,213443;1,220485;1,223415;1,203248;1,216351;1,211505;1,256134;1,249824;1,239094;1,243434;1,242497;1,254539;1,287372;1,28177;1,27687;1,32927;1,33471;1,346138;1,320749;1,317495;1,32312;1,31572;1,322232;1,325344;1,308749;1,325359;1,316757;1,341501;1,32179;1,314387;1,338081;1,342572;1,350453;1,339333;1,330412
BitTorrent;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291
Waves;8,608;8,4515;8,4292;8,5137;8,3642;8,2699;8,1622;8,0321;7,988241667;7,944383333;7,900525;7,856666667;7,812808333;7,76895;7,725091667;7,681233333;7,637375;7,593516667;7,549658333;7,5058;7,4417;7,4279;7,437;7,4487;7,3726;7,5475;7,6024;7,5787;7,5639;7,6273;7,6959;7,607;7,7915;7,8163;7,6913;7,957;8,0313;7,9935;7,9174;7,9458;7,8943;7,9369;8,0009;7,9858;7,9886;7,9753;8,0019;8,0988;8,0302;8,0072;8,0587;8,0483;8,1597;8,061;8,1803
Dash;90,881;90,884;90,771;92,238;91,079;90,136;89,87;88,28;87,80891667;87,33783333;86,86675;86,39566667;85,92458333;85,4535;84,98241667;84,51133333;84,04025;83,56916667;83,09808333;82,627;80,983;82,075;82,175;82,037;82,151;80,39;82,594;82,036;81,648;82,372;82,531;82,318;84,769;84,149;84,462;86,996;87,387;86,77;85,614;86,47;86,791;86,731;86,686;86,232;85,328;85,289;85,146;85,361;84,82;84,069;84,732;84,366;85,173;84,208;83,88
Celo;2,88684;2,897669;2,874153;2,944843;2,907798;2,835031;2,83231;2,78369;2,7722035;2,760717;2,7492305;2,737744;2,7262575;2,714771;2,7032845;2,691798;2,6803115;2,668825;2,6573385;2,645852;2,610741;2,641323;2,653802;2,62687;2,642082;2,576445;2,663074;2,674269;2,641157;2,662474;2,676888;2,679305;2,762448;2,743235;2,708808;2,82492;2,825093;2,819888;2,800378;2,817877;2,836272;2,847175;2,860248;2,87898;2,866291;2,897276;2,901043;2,928366;2,861214;2,818702;2,867189;2,873888;2,910244;2,843058;2,825678
Compound;121,772;122,748;119,268;120,888;117,553;116,968;118,151;116,067;115,4375833;114,8081667;114,17875;113,5493333;112,9199167;112,2905;111,6610833;111,0316667;110,40225;109,7728333;109,1434167;108,514;105,06;106,038;107,082;106,485;106,553;103,856;106,984;106,191;105,133;105,186;105,942;107,811;110,498;110,03;108,37;114,254;113,128;113,168;111,571;111,596;111;112,839;112,243;113,436;112,801;114,022;114,922;113,347;111,037;109,488;110,796;109,151;110,192;109,424;108,714
IoTeX;0,07206602;0,0717418;0,07106249;0,07219192;0,07119604;0,06998845;0,06905558;0,06807586;0,067787705;0,06749955;0,067211395;0,06692324;0,066635085;0,06634693;0,066058775;0,06577062;0,065482465;0,06519431;0,064906155;0,064618;0,06332491;0,0638502;0,06416132;0,06358259;0,06369209;0,06318276;0,06447443;0,06440582;0,06365526;0,0632271;0,06381303;0,06426077;0,06606855;0,06536317;0,06514607;0,0689946;0,06885832;0,06828171;0,06780376;0,06765036;0,06791424;0,06814753;0,0680652;0,06852346;0,06786758;0,06832408;0,06786877;0,06754622;0,06681793;0,06664083;0,06672635;0,06641638;0,06675655;0,0664391;0,06567407
Curve DAO Token;3,092418;3,05865;3,03067;3,083825;3,040646;2,968783;2,996603;2,934018;2,915478083;2,896938167;2,87839825;2,859858333;2,841318417;2,8227785;2,804238583;2,785698667;2,76715875;2,748618833;2,730078917;2,711539;2,656267;2,666695;2,702914;2,686812;2,694426;2,675777;2,757107;2,75759;2,712013;2,746729;2,747752;2,761759;2,876665;2,85654;2,831976;2,953245;2,976342;3,002446;2,988549;3,00254;2,986344;2,994549;3,073368;3,073518;3,086022;3,02901;2,970483;3,01371;2,953597;2,924481;2,994245;2,96648;3,000214;2,946507;2,935283
SushiSwap;4,211287;4,186396;4,202366;4,166835;4,04225;3,910297;3,886233;3,7582;3,739438167;3,720676333;3,7019145;3,683152667;3,664390833;3,645629;3,626867167;3,608105333;3,5893435;3,570581667;3,551819833;3,533058;3,486241;3,522347;3,548342;3,5498;3,574529;3,551148;3,616707;3,59967;3,576457;3,604362;3,622036;3,613782;3,776231;3,734659;3,704784;3,871875;3,881186;3,878897;3,868161;3,843286;3,83616;3,808662;3,869904;3,930728;3,906234;3,976967;3,91072;3,926713;3,878318;3,811603;3,857867;3,787336;3,81886;3,774989;3,771135
Synthetix;5,1351;5,1532;5,033;5,0339;4,961698;4,849187;4,82655;4,717852;4,694585667;4,671319333;4,648053;4,624786667;4,601520333;4,578254;4,554987667;4,531721333;4,508455;4,485188667;4,461922333;4,438656;4,345106;4,464615;4,54286;4,51945;4,557546;4,532059;4,590743;4,617258;4,58084;4,680171;4,721314;4,707846;4,949386;5,1749;5,0844;5,2481;4,974428;5,038;5,1667;5,1208;4,99056;4,825193;4,783656;4,835017;4,805619;4,851045;4,826184;4,847717;4,914076;4,910956;4,932063;4,862819;4,964428;4,998539;5,1069
Nem;0,09771516;0,09816378;0,09732072;0,09851107;0,0979754;0,09581232;0,09569205;0,09455598;0,094120785;0,09368559;0,093250395;0,0928152;0,092380005;0,09194481;0,091509615;0,09107442;0,090639225;0,09020403;0,089768835;0,08933364;0,08763755;0,08827741;0,0891032;0,0890315;0,08969592;0,08806917;0,09021807;0,0904128;0,08963284;0,09002035;0,09006552;0,09061052;0,0925243;0,09152968;0,09117969;0,0928365;0,09278405;0,09269652;0,09168908;0,09153218;0,0913752;0,09179852;0,0924408;0,09273852;0,09208395;0,09194733;0,09172416;0,092456;0,09193905;0,09146781;0,09213745;0,09214605;0,09335584;0,09301474;0,09124864
Basic Attention Token;0,823887;0,821356;0,81975;0,830133;0,817802;0,800155;0,7845;0,766236;0,762252583;0,758269167;0,75428575;0,750302333;0,746318917;0,7423355;0,738352083;0,734368667;0,73038525;0,726401833;0,722418417;0,718435;0,706704;0,709981;0,713352;0,709519;0,713752;0,71085;0,728753;0,726848;0,716974;0,718212;0,717941;0,723022;0,753033;0,729405;0,726691;0,755348;0,756778;0,757258;0,747981;0,74442;0,740592;0,738294;0,750005;0,751946;0,748954;0,751867;0,748281;0,755206;0,74937;0,748276;0,752115;0,75355;0,758873;0,755979;0,760376
Qtum;6,3169;6,2669;6,0718;6,1021;5,9939;5,8956;5,9871;5,8805;5,831725;5,78295;5,734175;5,6854;5,636625;5,58785;5,539075;5,4903;5,441525;5,39275;5,343975;5,2952;5,2013;5,2503;5,2866;5,259;5,2638;5,1972;5,3732;5,3485;5,3133;5,3285;5,3538;5,3604;5,5922;5,606;5,547;5,7091;5,7484;5,9437;5,6238;5,6091;5,5962;5,5816;5,4914;5,5137;5,4912;5,4955;5,4643;5,486;5,4435;5,4027;5,4598;5,478;5,5408;5,4658;5,4099
Icon;0,733957;0,729667;0,72138;0,736866;0,740278;0,719467;0,704363;0,69483;0,689549667;0,684269333;0,678989;0,673708667;0,668428333;0,663148;0,657867667;0,652587333;0,647307;0,642026667;0,636746333;0,631466;0,618103;0,620304;0,623547;0,618813;0,619266;0,610187;0,629841;0,629344;0,61999;0,622604;0,626261;0,630373;0,648998;0,644426;0,643309;0,662865;0,66426;0,666422;0,655049;0,654309;0,659784;0,66585;0,667776;0,659119;0,655635;0,661344;0,657712;0,664083;0,659119;0,657786;0,666375;0,665054;0,677899;0,675984;0,670998
Decred;58,6991;58,7933;58,9346;59,1766;58,995;58,6588;57,9396;57,247;57,074475;56,90195;56,729425;56,5569;56,384375;56,21185;56,039325;55,8668;55,694275;55,52175;55,349225;55,1767;53,493;53,4564;53,3216;53,7715;53,7643;53,3914;54,4679;55,0454;55,4448;55,6086;55,2614;55,6785;56,6656;55,2365;55,1154;56,5515;56,8733;56,0965;56,1851;55,9314;56,0328;55,8426;55,7664;56,1406;56,1338;56,6104;56,1022;57,2516;56,1406;56,534;56,7751;56,7121;57,2784;57,0752;57,1195
OmiseGO;4,477226;4,484737;4,469058;4,544446;4,446912;4,355264;4,343283;4,298332;4,28024775;4,2621635;4,24407925;4,225995;4,20791075;4,1898265;4,17174225;4,153658;4,13557375;4,1174895;4,09940525;4,081321;4,029051;4,090158;4,149087;4,168614;4,177825;4,111668;4,201306;4,143034;4,060049;4,038943;4,101214;4,088113;4,225129;4,191422;4,179734;4,3188;4,352625;4,346811;4,299534;4,336015;4,352976;4,374191;4,3512;4,313585;4,266522;4,342798;4,37023;4,388993;4,381984;4,365294;4,400741;4,382947;4,457563;4,426003;4,465302
Horizen;40,372;40,3241;40,4672;40,7855;39,3737;38,2288;37,5952;36,6206;36,3664;36,1122;35,858;35,6038;35,3496;35,0954;34,8412;34,587;34,3328;34,0786;33,8244;33,5702;32,91;33,3249;33,6242;33,2414;33,2434;32,4339;33,4614;33,5502;33,1518;33,3208;33,7224;34,0454;34,9733;34,7441;34,2123;35,1119;34,4778;34,5795;34,3412;34,4555;34,4011;34,5887;34,8451;34,928;34,7745;35,1144;35,1995;35,4009;35,1411;35,4414;36,2556;36,2352;36,8346;36,5954;36,5797
Ravencoin;0,06632734;0,06577498;0,06523024;0,06593336;0,06443128;0,06352811;0,06298197;0,06244015;0,062083738;0,061727327;0,061370915;0,061014503;0,060658092;0,06030168;0,059945268;0,059588857;0,059232445;0,058876033;0,058519622;0,05816321;0,05705633;0,05755967;0,05865376;0,05761484;0,0574462;0,05643345;0,05856634;0,05814784;0,05711879;0,05715184;0,05761714;0,05774426;0,05993273;0,05925529;0,05999783;0,062304;0,06288795;0,06216693;0,06167932;0,06160444;0,06097008;0,06067225;0,06142296;0,06191451;0,0613982;0,06185305;0,06222811;0,06220333;0,06167467;0,06135585;0,06187514;0,0617156;0,06275686;0,06194443;0,06251067
Zilliqa;0,04506095;0,04482113;0,04455068;0,04471021;0,04425936;0,043439;0,04347653;0,04309201;0,042749572;0,042407133;0,042064695;0,041722257;0,041379818;0,04103738;0,040694942;0,040352503;0,040010065;0,039667627;0,039325188;0,03898275;0,03839943;0,03870558;0,03878094;0,03859207;0,03870854;0,03793271;0,03920095;0,03917888;0,03866081;0,03884622;0,03902839;0,0390104;0,04060444;0,03992252;0,03976817;0,04116135;0,0414919;0,04140326;0,04097162;0,04060797;0,04079472;0,04066124;0,04045728;0,04059531;0,04057922;0,04079328;0,04087193;0,04101846;0,0411727;0,04040939;0,04030236;0,04027717;0,04052249;0,04010425;0,04000148
Yearn Finance;21881,08;21948,32;22018,83;22305,99;21834,08;21699,22;21751,26;21613,76;21518,50167;21423,24333;21327,985;21232,72667;21137,46833;21042,21;20946,95167;20851,69333;20756,435;20661,17667;20565,91833;20470,66;20015,42;20056,81;20250,96;20212,96;20290,8;20062,66;20376,73;20255,57;20139,84;20134,51;20389,67;20469,01;20944,46;20954,78;20947,77;21780,13;21924,11;21909,07;21988,85;22267,94;22421,72;22674,95;22631,22;22489,36;22450,98;22382,69;22406,63;22426,68;22016,21;22062,79;22115,31;22046,22;22300,39;22138,78;22111,01
