;05.02.2022 13:00:00;05.02.2022 10:59:33;05.02.2022 09:00:34;05.02.2022 07:01:32;05.02.2022 05:02:34;05.02.2022 03:03:30;05.02.2022 01:04:20;04.02.2022 23:05:01;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 21:01:07;03.02.2022 19:02:05;03.02.2022 17:02:40;03.02.2022 15:03:40;03.02.2022 13:04:41;03.02.2022 11:05:53;03.02.2022 08:58:48;03.02.2022 06:59:59;03.02.2022 05:00:47;03.02.2022 03:01:44;03.02.2022 01:02:43;02.02.2022 22:59:15;02.02.2022 21:00:11;02.02.2022 19:01:21;02.02.2022 17:02:34;02.02.2022 15:03:42;02.02.2022 13:04:47;02.02.2022 11:05:54;02.02.2022 08:59:06;02.02.2022 07:00:14;02.02.2022 05:09:19;02.02.2022 03:02:34;02.02.2022 01:03:37;01.02.2022 23:04:24;01.02.2022 21:05:29;01.02.2022 18:58:39;01.02.2022 16:59:49;01.02.2022 15:00:03;01.02.2022 13:00:13;01.02.2022 11:00:54;01.02.2022 09:01:45;01.02.2022 07:03:01;01.02.2022 05:04:19;01.02.2022 03:05:36;01.02.2022 00:58:47
Ime;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena
Avalanche;68,8118;68,9771;68,7191;69,9542;68,4429;67,1298;67,1417;66,7386;66,15025;65,5619;64,97355;64,3852;63,79685;63,2085;62,62015;62,0318;61,44345;60,8551;60,26675;59,6784;57,9581;58,7145;59,3027;58,0644;58,8835;59,4755;60,0655;60,6564;60,1036;59,919;60,0702;60,7676;63,5717;62,6987;62,8156;65,1625;64,71;64,3558;64,7948;64,7561;65,3923;65,0402;65,268;64,002;63,215;64,0427;62,6104;62,8523;62,4031;62,1646;61,9284;62,0183;61,7235;61,8552;62,3235
Dogecoin;0,13052016;0,12992265;0,12958608;0,13059054;0,1292646;0,12868224;0,12890025;0,1263804;0,125833048;0,125285697;0,124738345;0,124190993;0,123643642;0,12309629;0,122548938;0,122001587;0,121454235;0,120906883;0,120359532;0,11981218;0,11863025;0,11977381;0,1204998;0,1200603;0,12057048;0,12159399;0,12268593;0,12303232;0,12178375;0,12186006;0,12126602;0,12164152;0,1243987;0,12383948;0,12378817;0,1269975;0,1277218;0,12743556;0,12639424;0,12668906;0,1266288;0,12633394;0,1264512;0,12649392;0,12659008;0,12701727;0,12656512;0,127127;0,12649392;0,12586824;0,1268778;0,12668969;0,12791888;0,12601134;0,12626887
Shiba Inu;0,00002054;0,00002032;0,00002053;0,00002019;0,00001985;0,00001963;0,00001938;0,00001916;1,91E-05;1,90E-05;0,000018885;1,88E-05;1,87E-05;0,00001861;1,85E-05;1,84E-05;0,000018335;1,82E-05;1,82E-05;0,00001806;0,00001774;0,00001794;0,00001815;0,00001812;0,00001819;0,00001826;0,00001839;0,00001835;0,00001812;0,00001827;0,00001826;0,0000182;0,00001863;0,00001849;0,00001843;0,00001909;0,00001909;0,00001906;0,00001905;0,00001911;0,00001929;0,00001919;0,00001926;0,00001928;0,00001924;0,00001929;0,00001922;0,00001933;0,00001935;0,00001942;0,00001924;0,00001931;0,00001935;0,00001897;0,00001908
Terra;49,4349;49,2656;50,1731;49,8062;49,8267;47,1369;46,2031;45,3641;45,21475833;45,06541667;44,916075;44,76673333;44,61739167;44,46805;44,31870833;44,16936667;44,020025;43,87068333;43,72134167;43,572;42,5668;42,8701;43,4992;42,6293;42,6477;42,7574;43,0598;42,9284;42,7616;41,906;42,1552;43,7094;44,757;43,7554;44,5708;46,5776;46,7016;46,3483;45,8889;45,9614;46,0872;46,6361;46,2026;45,9518;45,3429;46,5255;46,0576;46,1124;46,5203;47,1739;47,1349;47,8447;46,6512;46,4895;46,2748
Litecoin;106,77;106,72;106,32;106,88;106,14;104,95;105,5;104,05;103,3391667;102,6283333;101,9175;101,2066667;100,4958333;99,785;99,07416667;98,36333333;97,6525;96,94166667;96,23083333;95,52;93,92;94,35;95,37;95,55;95,45;93,61;96,7;96,02;95,29;95,61;96,1;95,78;99,15;98;97,48;100,68;101,07;101,78;100,9;101,38;101,66;101,08;102,26;102,43;102,07;101,07;98,93;99,5;97,63;97,5;98,22;98,16;99,1;97,11;97,55
Chainlink;15,6902;15,736;15,6629;15,8935;15,68;15,3626;15,2859;14,9783;14,91451667;14,85073333;14,78695;14,72316667;14,65938333;14,5956;14,53181667;14,46803333;14,40425;14,34046667;14,27668333;14,2129;13,8278;13,9069;13,9939;13,8108;13,85;13,5555;14,0471;13,9509;13,83;13,847;13,9788;13,95;14,5622;14,42;14,469;15,091;15,2111;15,2033;15,1168;15,3002;15,1227;14,9592;15,1019;15,2199;15,0858;15,2801;15,2714;15,445;15,3117;15,2493;15,499;15,4365;15,5224;15,3446;15,3454
Polygon;1,518653;1,517951;1,50834;1,528801;1,499784;1,476524;1,478639;1,458706;1,449106167;1,439506333;1,4299065;1,420306667;1,410706833;1,401107;1,391507167;1,381907333;1,3723075;1,362707667;1,353107833;1,343508;1,319379;1,324599;1,340933;1,335473;1,342334;1,354296;1,365247;1,367715;1,348921;1,354296;1,364132;1,356498;1,410442;1,39242;1,392063;1,4514;1,452349;1,447165;1,437912;1,44889;1,448328;1,451553;1,4652;1,46836;1,452717;1,473116;1,457632;1,485519;1,463918;1,485352;1,467802;1,459202;1,486745;1,453634;1,463186
Algorand;0,894308;0,89301;0,887429;0,903382;0,879419;0,869392;0,870492;0,858093;0,854402917;0,850712833;0,84702275;0,843332667;0,839642583;0,8359525;0,832262417;0,828572333;0,82488225;0,821192167;0,817502083;0,813812;0,804147;0,808408;0,814031;0,809217;0,811344;0,802733;0,830237;0,827454;0,817501;0,813908;0,817416;0,828882;0,881239;0,864044;0,875555;0,898098;0,886711;0,876895;0,86754;0,873862;0,877433;0,871376;0,85914;0,861029;0,871096;0,872743;0,873602;0,869887;0,85872;0,860544;0,862289;0,859496;0,860958;0,850153;0,84904
Bitcoin Cash;274,52;271,27;270,33;271,9;266,88;265,72;266,46;261,55;260,0491667;258,5483333;257,0475;255,5466667;254,0458333;252,545;251,0441667;249,5433333;248,0425;246,5416667;245,0408333;243,54;238,5;239,67;241,8;241,82;243,75;240,98;247,63;246,86;245,31;244,15;246,15;248,25;252,42;250,86;252,62;259,46;260,75;259,55;255,77;255,95;256,75;255,43;255,83;255,07;253,74;256,05;254,43;255,89;253,67;253,37;254,87;255,3;256,93;252,59;254,4
Uniswap;10,332;10,078;10,046;10,22;10,044;9,902;9,742;9,621;9,570916667;9,520833333;9,47075;9,420666667;9,370583333;9,3205;9,270416667;9,220333333;9,17025;9,120166667;9,070083333;9,02;8,942;9,118;9,18;9,105;9,181;9,027;9,263;9,284;9,194;9,232;9,309;9,253;9,683;9,584;9,454;9,91;9,905;9,861;9,771;9,838;9,89;9,811;9,886;9,932;9,871;10,028;10,003;10,213;10,051;10,048;10,141;10,102;10,309;10,432;10,508
